method,weight,rmse,n
base30+feature_default,0.850000000,0.062829162,1114
hgb+feature_wide,0.100000000,0.062834235,1114
base20+feature_default,0.850000000,0.062848617,1114
hgb+feature_regular,0.100000000,0.062851938,1114
base30+feature_wide,0.950000000,0.062894433,1114
hgb+feature_default,0.100000000,0.062897895,1114
base20+feature_wide,0.950000000,0.062899623,1114
hgb+feature_default,0.850000000,0.062901642,1114
hgb+feature_wide,0.950000000,0.062911571,1114
local40+feature_default,0.900000000,0.062956666,1114
base30+feature_regular,1.000000000,0.063054638,1114
base20+feature_regular,1.000000000,0.063054638,1114
local40+feature_regular,1.000000000,0.063054638,1114
hgb+feature_regular,1.000000000,0.063054638,1114
feature_regular,,0.063054638,1114
base30+feature_default,0.900000000,0.063095748,1114
hgb+feature_wide,0.050000000,0.063105255,1114
base20+feature_default,0.900000000,0.063108919,1114
hgb+feature_regular,0.050000000,0.063114939,1114
hgb+feature_default,0.050000000,0.063137276,1114
hgb+feature_default,0.900000000,0.063141508,1114
feature_wide,,0.063191312,1114
local40+feature_wide,1.000000000,0.063191312,1114
base20+feature_wide,1.000000000,0.063191312,1114
base30+feature_wide,1.000000000,0.063191312,1114
hgb+feature_wide,1.000000000,0.063191312,1114
local40+feature_default,0.950000000,0.063317430,1114
base30+feature_default,0.950000000,0.063388641,1114
base20+feature_default,0.950000000,0.063395322,1114
hgb,,0.063405532,1114
hgb+feature_regular,0.000000000,0.063405532,1114
hgb+feature_wide,0.000000000,0.063405532,1114
hgb+feature_default,0.000000000,0.063405532,1114
hgb+feature_default,0.950000000,0.063410241,1114
hgb+feature_default,1.000000000,0.063707476,1114
base20+feature_default,1.000000000,0.063707476,1114
local40+feature_default,1.000000000,0.063707476,1114
base30+feature_default,1.000000000,0.063707476,1114
feature_default,,0.063707476,1114
