held_seed,feature,alpha,n,coverage,rmse,base_rmse,delta
1,r2_crop_modis_resmed,0.0760351103,2644,0.1819213313,0.0629821190,0.0630224991,-0.0000403801
1,r4_all_resmed,0.1855732042,2644,0.9905446293,0.0622452382,0.0630224991,-0.0007772609
1,r4_all_resmean,0.1909754325,2644,0.9905446293,0.0621051070,0.0630224991,-0.0009173921
1,r4_all_rawmed,0.1855732042,2644,0.9905446293,0.0622458666,0.0630224991,-0.0007766325
1,r4_all_s2_resmed,0.1717664144,2644,0.5026475038,0.0625034537,0.0630224991,-0.0005190454
1,r4_all_landsat_resmed,0.2279030347,2644,0.4406202723,0.0629821824,0.0630224991,-0.0000403167
1,r4_all_modis_resmed,0.0869301408,2644,0.2072617247,0.0630163442,0.0630224991,-0.0000061549
1,r4_crop_resmed,0.1811180138,2644,0.9863842663,0.0621966735,0.0630224991,-0.0008258256
1,r4_crop_resmean,0.1895049898,2644,0.9863842663,0.0620151805,0.0630224991,-0.0010073186
1,r4_crop_rawmed,0.1815673731,2644,0.9863842663,0.0621973152,0.0630224991,-0.0008251838
1,r4_crop_s2_resmed,0.2144103760,2644,0.4723903177,0.0623702025,0.0630224991,-0.0006522966
1,r4_crop_landsat_resmed,0.2302532639,2644,0.3975037821,0.0628805219,0.0630224991,-0.0001419771
1,r4_crop_modis_resmed,0.0913116715,2644,0.1906202723,0.0629501010,0.0630224991,-0.0000723980
1,r8_all_resmed,0.2054495725,2644,0.9950832073,0.0620570653,0.0630224991,-0.0009654338
1,r8_all_resmean,0.2068111536,2644,0.9950832073,0.0619590783,0.0630224991,-0.0010634208
1,r8_all_rawmed,0.2054495725,2644,0.9950832073,0.0620570653,0.0630224991,-0.0009654338
1,r8_all_s2_resmed,0.2171331211,2644,0.5257186082,0.0622503848,0.0630224991,-0.0007721143
1,r8_all_landsat_resmed,0.1795937530,2644,0.4901664145,0.0629670703,0.0630224991,-0.0000554288
1,r8_all_modis_resmed,0.1010517080,2644,0.2182299546,0.0629897003,0.0630224991,-0.0000327988
1,r8_crop_resmed,0.1795759469,2644,0.9897881997,0.0621439080,0.0630224991,-0.0008785911
1,r8_crop_resmean,0.1972279649,2644,0.9897881997,0.0619419951,0.0630224991,-0.0010805040
1,r8_crop_rawmed,0.1795759469,2644,0.9897881997,0.0621439080,0.0630224991,-0.0008785911
1,r8_crop_s2_resmed,0.1957886872,2644,0.4863842663,0.0623834875,0.0630224991,-0.0006390116
1,r8_crop_landsat_resmed,0.2006887677,2644,0.4107413011,0.0628764259,0.0630224991,-0.0001460731
1,r8_crop_modis_resmed,0.1117349245,2644,0.1970499244,0.0629424164,0.0630224991,-0.0000800827
1,r16_all_resmed,0.1958129952,2644,0.9977307110,0.0624076293,0.0630224991,-0.0006148698
1,r16_all_resmean,0.2094620691,2644,0.9977307110,0.0620868764,0.0630224991,-0.0009356227
1,r16_all_rawmed,0.1930507875,2644,0.9977307110,0.0624406616,0.0630224991,-0.0005818375
1,r16_all_s2_resmed,0.1768184949,2644,0.5453857791,0.0625202784,0.0630224991,-0.0005022206
1,r16_all_landsat_resmed,0.1467426895,2644,0.5461422088,0.0630229214,0.0630224991,0.0000004223
1,r16_all_modis_resmed,0.0905508313,2644,0.2231467474,0.0630062417,0.0630224991,-0.0000162573
1,r16_crop_resmed,0.1875314860,2644,0.9913010590,0.0622182503,0.0630224991,-0.0008042488
1,r16_crop_resmean,0.2043999698,2644,0.9913010590,0.0619747053,0.0630224991,-0.0010477937
1,r16_crop_rawmed,0.1849115010,2644,0.9913010590,0.0622206126,0.0630224991,-0.0008018865
1,r16_crop_s2_resmed,0.1945312070,2644,0.5037821483,0.0625715824,0.0630224991,-0.0004509167
1,r16_crop_landsat_resmed,0.1960477169,2644,0.4315431165,0.0628495752,0.0630224991,-0.0001729239
1,r16_crop_modis_resmed,0.0982185561,2644,0.2065052950,0.0629449043,0.0630224991,-0.0000775948
1,r32_all_resmed,0.1743851248,2644,0.9988653555,0.0625844615,0.0630224991,-0.0004380376
1,r32_all_resmean,0.2064405625,2644,0.9988653555,0.0621173622,0.0630224991,-0.0009051369
1,r32_all_rawmed,0.1713373262,2644,0.9988653555,0.0626123586,0.0630224991,-0.0004101405
1,r32_all_s2_resmed,0.1261623406,2644,0.5937972769,0.0627467637,0.0630224991,-0.0002757354
1,r32_all_landsat_resmed,0.1047114773,2644,0.6070347958,0.0629710181,0.0630224991,-0.0000514810
1,r32_all_modis_resmed,0.0717271567,2644,0.2250378215,0.0630327591,0.0630224991,0.0000102600
1,r32_crop_resmed,0.1800509545,2644,0.9928139183,0.0622461944,0.0630224991,-0.0007763046
1,r32_crop_resmean,0.2026147354,2644,0.9928139183,0.0619279419,0.0630224991,-0.0010945571
1,r32_crop_rawmed,0.1772501301,2644,0.9928139183,0.0622506199,0.0630224991,-0.0007718791
1,r32_crop_s2_resmed,0.1756763235,2644,0.5253403933,0.0625368807,0.0630224991,-0.0004856183
1,r32_crop_landsat_resmed,0.1798183021,2644,0.4440242057,0.0628762124,0.0630224991,-0.0001462867
1,r32_crop_modis_resmed,0.0878344499,2644,0.2129349470,0.0629750439,0.0630224991,-0.0000474552
1,r64_all_resmed,0.1755856433,2644,0.9988653555,0.0626375009,0.0630224991,-0.0003849982
1,r64_all_resmean,0.2073067872,2644,0.9988653555,0.0621090413,0.0630224991,-0.0009134578
1,r64_all_rawmed,0.1755856433,2644,0.9988653555,0.0626375009,0.0630224991,-0.0003849982
1,r64_all_s2_resmed,0.1129394429,2644,0.6236762481,0.0628578165,0.0630224991,-0.0001646826
1,r64_all_landsat_resmed,0.0939747648,2644,0.6440998487,0.0629880856,0.0630224991,-0.0000344135
1,r64_all_modis_resmed,0.0498096239,2644,0.2254160363,0.0630459308,0.0630224991,0.0000234317
1,r64_crop_resmed,0.1772346916,2644,0.9935703480,0.0624545115,0.0630224991,-0.0005679876
1,r64_crop_resmean,0.2005538076,2644,0.9935703480,0.0619594007,0.0630224991,-0.0010630983
1,r64_crop_rawmed,0.1740330000,2644,0.9935703480,0.0624571938,0.0630224991,-0.0005653053
1,r64_crop_s2_resmed,0.1529171709,2644,0.5431164902,0.0627026231,0.0630224991,-0.0003198759
1,r64_crop_landsat_resmed,0.1690781522,2644,0.4712556732,0.0629446274,0.0630224991,-0.0000778717
1,r64_crop_modis_resmed,0.0647304968,2644,0.2133131619,0.0630235318,0.0630224991,0.0000010328
1,date_resmed,0.1761398267,2644,0.9988653555,0.0626468902,0.0630224991,-0.0003756088
1,crop_resmed,0.1741545571,2644,0.9935703480,0.0624744998,0.0630224991,-0.0005479993
