candidate,seed,group,n,rmse,baseline_rmse,delta_rmse
c80_hist_0.07,0,shared,377,0.0467116205,0.0465642964,0.0001473241
c80_hist_0.07,1,shared,377,0.0505411045,0.0507891398,-0.0002480354
c80_hist_0.07,70404,shared,377,0.0579041348,0.0582164708,-0.0003123360
c80_hist_0.07,0,new2025,379,0.0549886084,0.0549354761,0.0000531323
c80_hist_0.07,1,new2025,379,0.0584481084,0.0581564968,0.0002916116
c80_hist_0.07,70404,new2025,379,0.0997827211,0.0996630005,0.0001197207
c80_hist_0.07,0,shared2025,377,0.0467116205,0.0465642964,0.0001473241
c80_hist_0.07,1,shared2025,377,0.0505411045,0.0507891398,-0.0002480354
c80_hist_0.07,70404,shared2025,377,0.0579041348,0.0582164708,-0.0003123360
c80_hist_0.09,0,all,2644,0.0713997608,0.0715691565,-0.0001693957
c80_hist_0.09,1,all,2644,0.0644457650,0.0644982523,-0.0000524873
c80_hist_0.09,70404,all,2644,0.0696087468,0.0698641263,-0.0002553795
c80_hist_0.09,0,history,1888,0.0780606370,0.0783223811,-0.0002617441
c80_hist_0.09,1,history,1888,0.0679498149,0.0680570784,-0.0001072635
c80_hist_0.09,70404,history,1888,0.0641556112,0.0645352640,-0.0003796529
c80_hist_0.09,0,2025,756,0.0511049557,0.0509332310,0.0001717247
c80_hist_0.09,1,2025,756,0.0547236889,0.0546069512,0.0001167377
c80_hist_0.09,70404,2025,756,0.0816519191,0.0816675643,-0.0000156453
c80_hist_0.09,0,new,2267,0.0747080357,0.0749224715,-0.0002144358
c80_hist_0.09,1,new,2267,0.0664759836,0.0665045729,-0.0000285893
c80_hist_0.09,70404,new,2267,0.0713751509,0.0716176482,-0.0002424973
c80_hist_0.09,0,shared,377,0.0468116075,0.0465642964,0.0002473111
c80_hist_0.09,1,shared,377,0.0505463432,0.0507891398,-0.0002427966
c80_hist_0.09,70404,shared,377,0.0578607601,0.0582164708,-0.0003557106
c80_hist_0.09,0,new2025,379,0.0550444182,0.0549354761,0.0001089421
c80_hist_0.09,1,new2025,379,0.0585842202,0.0581564968,0.0004277235
c80_hist_0.09,70404,new2025,379,0.0998433213,0.0996630005,0.0001803209
c80_hist_0.09,0,shared2025,377,0.0468116075,0.0465642964,0.0002473111
c80_hist_0.09,1,shared2025,377,0.0505463432,0.0507891398,-0.0002427966
c80_hist_0.09,70404,shared2025,377,0.0578607601,0.0582164708,-0.0003557106
c80_hist_0.09,0,source=Landsat,1169,0.0792038278,0.0791212725,0.0000825553
c80_hist_0.09,1,source=Landsat,1159,0.0545372358,0.0546590113,-0.0001217755
c80_hist_0.09,0,source=MODIS,589,0.0718659077,0.0726122323,-0.0007463246
c80_hist_0.09,1,source=MODIS,604,0.0652305664,0.0656005173,-0.0003699509
c80_hist_0.09,0,source=S2,886,0.0591844262,0.0593349125,-0.0001504863
c80_hist_0.09,1,source=S2,881,0.0750629622,0.0748604253,0.0002025369
c80_hist_0.09,70404,source=nan,2644,0.0696087468,0.0698641263,-0.0002553795
c80_hist_0.09,0,distance_bin=0-7,2468,0.0709176136,0.0711236582,-0.0002060447
c80_hist_0.09,1,distance_bin=0-7,2447,0.0648156810,0.0648530547,-0.0000373737
c80_hist_0.09,0,distance_bin=17-32,12,0.1079112090,0.1080307797,-0.0001195707
c80_hist_0.09,1,distance_bin=17-32,6,0.0822451627,0.0822451627,0.0000000000
c80_hist_0.09,0,distance_bin=8-16,164,0.0751764606,0.0748306566,0.0003458040
c80_hist_0.09,1,distance_bin=8-16,191,0.0588102145,0.0590782712,-0.0002680567
c80_hist_0.09,70404,distance_bin=nan,2644,0.0696087468,0.0698641263,-0.0002553795
c80_hist_0.09_shock10_state05,0,all,2644,0.0714205813,0.0715691565,-0.0001485752
c80_hist_0.09_shock10_state05,1,all,2644,0.0644178605,0.0644982523,-0.0000803918
c80_hist_0.09_shock10_state05,70404,all,2644,0.0695757761,0.0698641263,-0.0002883502
c80_hist_0.09_shock10_state05,0,history,1888,0.0780873060,0.0783223811,-0.0002350751
c80_hist_0.09_shock10_state05,1,history,1888,0.0679127499,0.0680570784,-0.0001443285
c80_hist_0.09_shock10_state05,70404,history,1888,0.0641055059,0.0645352640,-0.0004297581
c80_hist_0.09_shock10_state05,0,2025,756,0.0511049557,0.0509332310,0.0001717247
c80_hist_0.09_shock10_state05,1,2025,756,0.0547236889,0.0546069512,0.0001167377
c80_hist_0.09_shock10_state05,70404,2025,756,0.0816519191,0.0816675643,-0.0000156453
c80_hist_0.09_shock10_state05,0,new,2267,0.0747312432,0.0749224715,-0.0001912283
c80_hist_0.09_shock10_state05,1,new,2267,0.0664444319,0.0665045729,-0.0000601410
c80_hist_0.09_shock10_state05,70404,new,2267,0.0713376480,0.0716176482,-0.0002800003
c80_hist_0.09_shock10_state05,0,shared,377,0.0468116075,0.0465642964,0.0002473111
c80_hist_0.09_shock10_state05,1,shared,377,0.0505463432,0.0507891398,-0.0002427966
c80_hist_0.09_shock10_state05,70404,shared,377,0.0578607601,0.0582164708,-0.0003557106
c80_hist_0.09_shock10_state05,0,new2025,379,0.0550444182,0.0549354761,0.0001089421
c80_hist_0.09_shock10_state05,1,new2025,379,0.0585842202,0.0581564968,0.0004277235
c80_hist_0.09_shock10_state05,70404,new2025,379,0.0998433213,0.0996630005,0.0001803209
c80_hist_0.09_shock10_state05,0,shared2025,377,0.0468116075,0.0465642964,0.0002473111
c80_hist_0.09_shock10_state05,1,shared2025,377,0.0505463432,0.0507891398,-0.0002427966
c80_hist_0.09_shock10_state05,70404,shared2025,377,0.0578607601,0.0582164708,-0.0003557106
c80_hist_0.10,0,all,2644,0.0713962677,0.0715691565,-0.0001728887
c80_hist_0.10,1,all,2644,0.0644613211,0.0644982523,-0.0000369312
c80_hist_0.10,70404,all,2644,0.0696010498,0.0698641263,-0.0002630765
c80_hist_0.10,0,history,1888,0.0780441181,0.0783223811,-0.0002782630
c80_hist_0.10,1,history,1888,0.0679549069,0.0680570784,-0.0001021716
c80_hist_0.10,70404,history,1888,0.0641355966,0.0645352640,-0.0003996675
c80_hist_0.10,0,2025,756,0.0511508742,0.0509332310,0.0002176431
c80_hist_0.10,1,2025,756,0.0547719558,0.0546069512,0.0001650047
c80_hist_0.10,70404,2025,756,0.0816682369,0.0816675643,0.0000006726
c80_hist_0.10,0,new,2267,0.0746979314,0.0749224715,-0.0002245400
c80_hist_0.10,1,new,2267,0.0664916343,0.0665045729,-0.0000129386
c80_hist_0.10,70404,new,2267,0.0713682840,0.0716176482,-0.0002493643
c80_hist_0.10,0,shared,377,0.0468711670,0.0465642964,0.0003068706
c80_hist_0.10,1,shared,377,0.0505616722,0.0507891398,-0.0002274677
c80_hist_0.10,70404,shared,377,0.0578467556,0.0582164708,-0.0003697152
c80_hist_0.10,0,new2025,379,0.0550790687,0.0549354761,0.0001435926
c80_hist_0.10,1,new2025,379,0.0586609863,0.0581564968,0.0005044896
c80_hist_0.10,70404,new2025,379,0.0998780090,0.0996630005,0.0002150086
c80_hist_0.10,0,shared2025,377,0.0468711670,0.0465642964,0.0003068706
c80_hist_0.10,1,shared2025,377,0.0505616722,0.0507891398,-0.0002274677
c80_hist_0.10,70404,shared2025,377,0.0578467556,0.0582164708,-0.0003697152
c80_hist_0.10_shock10_state05,0,all,2644,0.0714173805,0.0715691565,-0.0001517759
c80_hist_0.10_shock10_state05,1,all,2644,0.0644336861,0.0644982523,-0.0000645662
c80_hist_0.10_shock10_state05,70404,all,2644,0.0695682934,0.0698641263,-0.0002958330
c80_hist_0.10_shock10_state05,0,history,1888,0.0780711658,0.0783223811,-0.0002512153
c80_hist_0.10_shock10_state05,1,history,1888,0.0679181936,0.0680570784,-0.0001388848
c80_hist_0.10_shock10_state05,70404,history,1888,0.0640858069,0.0645352640,-0.0004494571
c80_hist_0.10_shock10_state05,0,2025,756,0.0511508742,0.0509332310,0.0002176431
c80_hist_0.10_shock10_state05,1,2025,756,0.0547719558,0.0546069512,0.0001650047
c80_hist_0.10_shock10_state05,70404,2025,756,0.0816682369,0.0816675643,0.0000006726
c80_hist_0.10_shock10_state05,0,new,2267,0.0747214667,0.0749224715,-0.0002010048
c80_hist_0.10_shock10_state05,1,new,2267,0.0664603870,0.0665045729,-0.0000441858
c80_hist_0.10_shock10_state05,70404,new,2267,0.0713310252,0.0716176482,-0.0002866230
c80_hist_0.10_shock10_state05,0,shared,377,0.0468711670,0.0465642964,0.0003068706
c80_hist_0.10_shock10_state05,1,shared,377,0.0505616722,0.0507891398,-0.0002274677
c80_hist_0.10_shock10_state05,70404,shared,377,0.0578467556,0.0582164708,-0.0003697152
c80_hist_0.10_shock10_state05,0,new2025,379,0.0550790687,0.0549354761,0.0001435926
c80_hist_0.10_shock10_state05,1,new2025,379,0.0586609863,0.0581564968,0.0005044896
c80_hist_0.10_shock10_state05,70404,new2025,379,0.0998780090,0.0996630005,0.0002150086
c80_hist_0.10_shock10_state05,0,shared2025,377,0.0468711670,0.0465642964,0.0003068706
c80_hist_0.10_shock10_state05,1,shared2025,377,0.0505616722,0.0507891398,-0.0002274677
c80_hist_0.10_shock10_state05,70404,shared2025,377,0.0578467556,0.0582164708,-0.0003697152
