seed,radius,method,pred,n,rmse,coverage
0,2,median,b40_d_0.03,2644,0.07087196498890719,0.9761724659606656
0,2,median,b40_d_0.05,2644,0.07117620999636089,0.9761724659606656
0,2,median,b40_d_0.1,2644,0.0727617782215546,0.9761724659606656
0,4,mean,route,2644,0.07044685785728165,0.9931921331316188
0,4,mean,direct,2644,0.17780417374687602,0.9931921331316188
0,4,mean,r_plus_d_-0.2,2644,0.07857292085067048,0.9931921331316188
0,4,mean,r_plus_d_-0.1,2644,0.07277141926454442,0.9931921331316188
0,4,mean,r_plus_d_-0.05,2644,0.07114127865165822,0.9931921331316188
0,4,mean,r_plus_d_-0.03,2644,0.07074884937028177,0.9931921331316188
0,4,mean,r_plus_d_-0.02,2644,0.0706097396820938,0.9931921331316188
0,4,mean,r_plus_d_-0.01,2644,0.07050902095633906,0.9931921331316188
0,4,mean,r_plus_d_0,2644,0.07044685785728165,0.9931921331316188
0,4,mean,r_plus_d_0.01,2644,0.07042335248481717,0.9931921331316188
0,4,mean,r_plus_d_0.02,2644,0.07043854353925655,0.9931921331316188
0,4,mean,r_plus_d_0.03,2644,0.07049240600346147,0.9931921331316188
0,4,mean,r_plus_d_0.05,2644,0.07071572825821423,0.9931921331316188
0,4,mean,r_plus_d_0.08,2644,0.07133652260725246,0.9931921331316188
0,4,mean,r_plus_d_0.1,2644,0.07193708954058084,0.9931921331316188
0,4,mean,r_plus_d_0.15,2644,0.07406383508436408,0.9931921331316188
0,4,mean,r_plus_d_0.2,2644,0.07702100149045457,0.9931921331316188
0,4,mean,b40_d_-0.1,2644,0.07307597685952287,0.9931921331316188
0,4,mean,b40_d_-0.05,2644,0.071463489275753,0.9931921331316188
0,4,mean,b40_d_-0.03,2644,0.07107571891809501,0.9931921331316188
0,4,mean,b40_d_-0.02,2644,0.0709383869445521,0.9931921331316188
0,4,mean,b40_d_-0.01,2644,0.07083906953906476,0.9931921331316188
0,4,mean,b40_d_0,2644,0.07077792673087005,0.9931921331316188
