experiment,held_seed,alpha_local,alpha_shock,alpha_date,n,coverage,rmse,base_rmse,alpha_state,delta
local_fixed,2,0.2500000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0642499635,0.0651400878,,-0.0008901243
local_fixed,2,0.2750000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0643294792,0.0651400878,,-0.0008106087
local_fixed,2,0.3000000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0644395760,0.0651400878,,-0.0007005118
local_loo,2,0.1964628993,0.0000000000,0.0000000000,2644,0.9924357035,0.0641830182,0.0651400878,0.0000000000,-0.0009570696
local_cropshock_loo,2,0.2371187894,-0.0789898752,0.0000000000,2644,0.9924357035,0.0641845742,0.0651400878,0.0000000000,-0.0009555136
local_dateshock_loo,2,0.2278197197,0.0000000000,-0.0731462781,2644,0.9924357035,0.0641898950,0.0651400878,0.0000000000,-0.0009501929
local_jointshock_loo,2,0.2401204805,-0.0569406602,-0.0334752022,2644,0.9924357035,0.0641878649,0.0651400878,0.0000000000,-0.0009522229
local_crop_state_loo,2,0.2372590384,-0.0779258857,0.0000000000,2644,0.9924357035,0.0641793620,0.0651400878,-0.0542326654,-0.0009607259
local_fixed,70404,0.0000000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0682773256,0.0682773256,,0.0000000000
local_fixed,70404,0.0250000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0680463154,0.0682773256,,-0.0002310102
local_fixed,70404,0.0500000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0678439624,0.0682773256,,-0.0004333632
local_fixed,70404,0.0750000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0676705237,0.0682773256,,-0.0006068019
local_fixed,70404,0.1000000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0675262221,0.0682773256,,-0.0007511035
local_fixed,70404,0.1250000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0674112447,0.0682773256,,-0.0008660809
local_fixed,70404,0.1500000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0673257418,0.0682773256,,-0.0009515838
local_fixed,70404,0.1750000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0672698257,0.0682773256,,-0.0010074999
local_fixed,70404,0.2000000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0672435702,0.0682773256,,-0.0010337554
local_fixed,70404,0.2250000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0672470102,0.0682773256,,-0.0010303154
local_fixed,70404,0.2500000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0672801409,0.0682773256,,-0.0009971847
local_fixed,70404,0.2750000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0673429187,0.0682773256,,-0.0009344069
local_fixed,70404,0.3000000000,0.0000000000,0.0000000000,2644,0.9916792738,0.0674352607,0.0682773256,,-0.0008420649
local_loo,70404,0.1926483308,0.0000000000,0.0000000000,2644,0.9916792738,0.0672482096,0.0682773256,0.0000000000,-0.0010291160
local_cropshock_loo,70404,0.2286513396,-0.0726512921,0.0000000000,2644,0.9916792738,0.0672264037,0.0682773256,0.0000000000,-0.0010509219
local_dateshock_loo,70404,0.2250858220,0.0000000000,-0.0772090035,2644,0.9916792738,0.0672676828,0.0682773256,0.0000000000,-0.0010096428
local_jointshock_loo,70404,0.2325531375,-0.0367226773,-0.0516667911,2644,0.9916792738,0.0672492345,0.0682773256,0.0000000000,-0.0010280911
local_crop_state_loo,70404,0.2286810235,-0.0718140294,0.0000000000,2644,0.9916792738,0.0672119910,0.0682773256,-0.0400406551,-0.0010653346
