seed,method,alpha,n,rmse
2,soft_crop_r1_l0_p1,0.4500000000,2644,0.0654245164
2,soft_crop_r1_l0_p1,0.5000000000,2644,0.0653997765
2,soft_crop_r1_l0_p1,0.5500000000,2644,0.0654010868
2,soft_crop_r1_l0_p1,0.6000000000,2644,0.0654284459
2,soft_crop_r1_l0_p1,0.6500000000,2644,0.0654818210
2,soft_crop_r1_l0_p1,0.7000000000,2644,0.0655611488
2,soft_crop_r1_l0_p1,0.7500000000,2644,0.0656663350
2,soft_crop_r1_l0_p1,0.8000000000,2644,0.0657972556
2,soft_crop_r1_l0_p2,0.0000000000,2644,0.0668046092
2,soft_crop_r1_l0_p2,0.0500000000,2644,0.0665349756
2,soft_crop_r1_l0_p2,0.1000000000,2644,0.0662914145
2,soft_crop_r1_l0_p2,0.1500000000,2644,0.0660742144
2,soft_crop_r1_l0_p2,0.2000000000,2644,0.0658836359
2,soft_crop_r1_l0_p2,0.2500000000,2644,0.0657199106
2,soft_crop_r1_l0_p2,0.3000000000,2644,0.0655832397
2,soft_crop_r1_l0_p2,0.3500000000,2644,0.0654737925
2,soft_crop_r1_l0_p2,0.4000000000,2644,0.0653917058
2,soft_crop_r1_l0_p2,0.4500000000,2644,0.0653370827
2,soft_crop_r1_l0_p2,0.5000000000,2644,0.0653099921
2,soft_crop_r1_l0_p2,0.5500000000,2644,0.0653104682
2,soft_crop_r1_l0_p2,0.6000000000,2644,0.0653385104
2,soft_crop_r1_l0_p2,0.6500000000,2644,0.0653940834
2,soft_crop_r1_l0_p2,0.7000000000,2644,0.0654771169
2,soft_crop_r1_l0_p2,0.7500000000,2644,0.0655875067
2,soft_crop_r1_l0_p2,0.8000000000,2644,0.0657251150
2,soft_crop_r1_l0_p4,0.0000000000,2644,0.0668046092
2,soft_crop_r1_l0_p4,0.0500000000,2644,0.0665288658
2,soft_crop_r1_l0_p4,0.1000000000,2644,0.0662802875
2,soft_crop_r1_l0_p4,0.1500000000,2644,0.0660591810
2,soft_crop_r1_l0_p4,0.2000000000,2644,0.0658658229
2,soft_crop_r1_l0_p4,0.2500000000,2644,0.0657004582
2,soft_crop_r1_l0_p4,0.3000000000,2644,0.0655632987
2,soft_crop_r1_l0_p4,0.3500000000,2644,0.0654545218
2,soft_crop_r1_l0_p4,0.4000000000,2644,0.0653742691
2,soft_crop_r1_l0_p4,0.4500000000,2644,0.0653226458
2,soft_crop_r1_l0_p4,0.5000000000,2644,0.0652997197
2,soft_crop_r1_l0_p4,0.5500000000,2644,0.0653055211
2,soft_crop_r1_l0_p4,0.6000000000,2644,0.0653400423
2,soft_crop_r1_l0_p4,0.6500000000,2644,0.0654032379
2,soft_crop_r1_l0_p4,0.7000000000,2644,0.0654950248
2,soft_crop_r1_l0_p4,0.7500000000,2644,0.0656152831
2,soft_crop_r1_l0_p4,0.8000000000,2644,0.0657638565
2,soft_crop_r1_l0.25_p1,0.0000000000,2644,0.0668046092
2,soft_crop_r1_l0.25_p1,0.0500000000,2644,0.0665792450
2,soft_crop_r1_l0.25_p1,0.1000000000,2644,0.0663752918
2,soft_crop_r1_l0.25_p1,0.1500000000,2644,0.0661929476
2,soft_crop_r1_l0.25_p1,0.2000000000,2644,0.0660323915
2,soft_crop_r1_l0.25_p1,0.2500000000,2644,0.0658937826
2,soft_crop_r1_l0.25_p1,0.3000000000,2644,0.0657772597
2,soft_crop_r1_l0.25_p1,0.3500000000,2644,0.0656829404
2,soft_crop_r1_l0.25_p1,0.4000000000,2644,0.0656109205
2,soft_crop_r1_l0.25_p1,0.4500000000,2644,0.0655612733
2,soft_crop_r1_l0.25_p1,0.5000000000,2644,0.0655340498
2,soft_crop_r1_l0.25_p1,0.5500000000,2644,0.0655292779
2,soft_crop_r1_l0.25_p1,0.6000000000,2644,0.0655469626
2,soft_crop_r1_l0.25_p1,0.6500000000,2644,0.0655870855
2,soft_crop_r1_l0.25_p1,0.7000000000,2644,0.0656496057
2,soft_crop_r1_l0.25_p1,0.7500000000,2644,0.0657344592
2,soft_crop_r1_l0.25_p1,0.8000000000,2644,0.0658415596
2,soft_crop_r1_l0.25_p2,0.0000000000,2644,0.0668046092
2,soft_crop_r1_l0.25_p2,0.0500000000,2644,0.0665394920
2,soft_crop_r1_l0.25_p2,0.1000000000,2644,0.0662997798
2,soft_crop_r1_l0.25_p2,0.1500000000,2644,0.0660857491
2,soft_crop_r1_l0.25_p2,0.2000000000,2644,0.0658976500
2,soft_crop_r1_l0.25_p2,0.2500000000,2644,0.0657357053
2,soft_crop_r1_l0.25_p2,0.3000000000,2644,0.0656001085
2,soft_crop_r1_l0.25_p2,0.3500000000,2644,0.0654910235
2,soft_crop_r1_l0.25_p2,0.4000000000,2644,0.0654085827
2,soft_crop_r1_l0.25_p2,0.4500000000,2644,0.0653528870
2,soft_crop_r1_l0.25_p2,0.5000000000,2644,0.0653240050
2,soft_crop_r1_l0.25_p2,0.5500000000,2644,0.0653219720
2,soft_crop_r1_l0.25_p2,0.6000000000,2644,0.0653467906
2,soft_crop_r1_l0.25_p2,0.6500000000,2644,0.0653984303
2,soft_crop_r1_l0.25_p2,0.7000000000,2644,0.0654768276
2,soft_crop_r1_l0.25_p2,0.7500000000,2644,0.0655818865
2,soft_crop_r1_l0.25_p2,0.8000000000,2644,0.0657134792
2,soft_crop_r1_l0.25_p4,0.0000000000,2644,0.0668046092
2,soft_crop_r1_l0.25_p4,0.0500000000,2644,0.0665289418
2,soft_crop_r1_l0.25_p4,0.1000000000,2644,0.0662802008
2,soft_crop_r1_l0.25_p4,0.1500000000,2644,0.0660586906
2,soft_crop_r1_l0.25_p4,0.2000000000,2644,0.0658646859
2,soft_crop_r1_l0.25_p4,0.2500000000,2644,0.0656984302
2,soft_crop_r1_l0.25_p4,0.3000000000,2644,0.0655601348
2,soft_crop_r1_l0.25_p4,0.3500000000,2644,0.0654499769
2,soft_crop_r1_l0.25_p4,0.4000000000,2644,0.0653680987
2,soft_crop_r1_l0.25_p4,0.4500000000,2644,0.0653146065
2,soft_crop_r1_l0.25_p4,0.5000000000,2644,0.0652895702
2,soft_crop_r1_l0.25_p4,0.5500000000,2644,0.0652930225
2,soft_crop_r1_l0.25_p4,0.6000000000,2644,0.0653249589
2,soft_crop_r1_l0.25_p4,0.6500000000,2644,0.0653853376
2,soft_crop_r1_l0.25_p4,0.7000000000,2644,0.0654740799
2,soft_crop_r1_l0.25_p4,0.7500000000,2644,0.0655910707
2,soft_crop_r1_l0.25_p4,0.8000000000,2644,0.0657361593
2,soft_crop_r1_l1_p1,0.0000000000,2644,0.0668046092
2,soft_crop_r1_l1_p1,0.0500000000,2644,0.0666243854
2,soft_crop_r1_l1_p1,0.1000000000,2644,0.0664619566
2,soft_crop_r1_l1_p1,0.1500000000,2644,0.0663174536
2,soft_crop_r1_l1_p1,0.2000000000,2644,0.0661909937
2,soft_crop_r1_l1_p1,0.2500000000,2644,0.0660826806
2,soft_crop_r1_l1_p1,0.3000000000,2644,0.0659926037
2,soft_crop_r1_l1_p1,0.3500000000,2644,0.0659208376
2,soft_crop_r1_l1_p1,0.4000000000,2644,0.0658674422
2,soft_crop_r1_l1_p1,0.4500000000,2644,0.0658324623
2,soft_crop_r1_l1_p1,0.5000000000,2644,0.0658159272
2,soft_crop_r1_l1_p1,0.5500000000,2644,0.0658178507
2,soft_crop_r1_l1_p1,0.6000000000,2644,0.0658382313
