seed,feature,variant,alpha,n,finite,rmse,baseline_rmse,delta,coef_crop,coef_state
2,crop_shock,fixed020,0.2,2644,1926,0.06493778284643169,0.06514008799161364,-0.00020230514518194964,,
2,crop_shock,fixed025,0.25,2644,1926,0.06500679439512115,0.06514008799161364,-0.00013329359649248695,,
2,date_shock,loo,0.1287076448539854,2644,2403,0.06494012451059752,0.06514008799161364,-0.00019996348101611328,,
2,date_shock,fixed010,0.1,2644,2403,0.06495517599238086,0.06514008799161364,-0.0001849119992327758,,
2,date_shock,fixed015,0.15,2644,2403,0.06493994276465599,0.06514008799161364,-0.00020014522695764592,,
2,date_shock,fixed020,0.2,2644,2403,0.06497628045310716,0.06514008799161364,-0.00016380753850647745,,
2,date_shock,fixed025,0.25,2644,2403,0.06506410265217903,0.06514008799161364,-7.598533943460606e-05,,
2,state,loo,-0.036343946183244887,2644,2644,0.06513796323144716,0.06514008799161364,-2.1247601664775573e-06,,
2,state,fixed010,0.1,2644,2644,0.0651851427081399,0.06514008799161364,4.50547165262577e-05,,
2,state,fixed015,0.15,2644,2644,0.06522920886416275,0.06514008799161364,8.912087254911438e-05,,
2,state,fixed020,0.2,2644,2644,0.06528759860960921,0.06514008799161364,0.00014751061799557486,,
2,state,fixed025,0.25,2644,2644,0.06536027355645933,0.06514008799161364,0.00022018556484569574,,
2,joint_crop_state,loo,0.17044643274696678,2644,1926,0.0649134062495109,0.06514008799161364,-0.00022668174210273284,0.16514275182979254,-0.042188362782286506
2,crop_shock,loo_slice_all,0.16711209540220037,2644,1926,0.06491846793293864,0.06514008799161364,-0.00022162005867500112,,
2,crop_shock,loo_slice_history,0.16711209540220037,1888,1212,0.060867393984234054,0.061048206676349505,-0.0001808126921154507,,
2,crop_shock,loo_slice_2025,0.16711209540220037,756,714,0.0740741451961621,0.07438234923490632,-0.00030820403874422253,,
2,crop_shock,loo_slice_new2025,0.16711209540220037,379,361,0.09296550020389727,0.0933691527835254,-0.0004036525796281276,,
2,crop_shock,loo_slice_shared2025,0.16711209540220037,377,353,0.04811063430845627,0.04827807129877758,-0.00016743699032131104,,
70404,crop_shock,loo,0.16637679216042478,2644,1908,0.06806121059955236,0.06827732548220211,-0.00021611488264974832,,
70404,crop_shock,fixed010,0.1,2644,1908,0.06808739878632769,0.06827732548220211,-0.00018992669587442057,,
70404,crop_shock,fixed015,0.15,2644,1908,0.06806025117356074,0.06827732548220211,-0.000217074308641374,,
70404,crop_shock,fixed020,0.2,2644,1908,0.06807841618931675,0.06827732548220211,-0.00019890929288536585,,
70404,crop_shock,fixed025,0.25,2644,1908,0.06814185759576386,0.06827732548220211,-0.00013546788643825636,,
70404,date_shock,loo,0.12784782419582064,2644,2415,0.06809506290526428,0.06827732548220211,-0.00018226257693783332,,
70404,date_shock,fixed010,0.1,2644,2415,0.06810983645066367,0.06827732548220211,-0.0001674890315384453,,
70404,date_shock,fixed015,0.15,2644,2415,0.06809324448567,0.06827732548220211,-0.00018408099653210996,,
70404,date_shock,fixed020,0.2,2644,2415,0.06812149392486797,0.06827732548220211,-0.00015583155733414622,,
70404,date_shock,fixed025,0.25,2644,2415,0.06819452904191023,0.06827732548220211,-8.279644029188238e-05,,
70404,state,loo,-0.02495096097769021,2644,2644,0.06827077038113324,0.06827732548220211,-6.55510106886692e-06,,
70404,state,fixed010,0.1,2644,2644,0.06833675285145027,0.06827732548220211,5.942736924816061e-05,,
70404,state,fixed015,0.15,2644,2644,0.06838633565421152,0.06827732548220211,0.00010901017200941332,,
70404,state,fixed020,0.2,2644,2644,0.06844912871859715,0.06827732548220211,0.00017180323639504058,,
70404,state,fixed025,0.25,2644,2644,0.06852509572889333,0.06827732548220211,0.0002477702466912174,,
70404,joint_crop_state,loo,0.16821000422192986,2644,1908,0.06805248868248504,0.06827732548220211,-0.00022483679971707637,0.16455469736283831,-0.03487631138991554
70404,crop_shock,loo_slice_all,0.16637679216042478,2644,1908,0.06806121059955236,0.06827732548220211,-0.00021611488264974832,,
70404,crop_shock,loo_slice_history,0.16637679216042478,1888,1194,0.06287907300487189,0.06304084840939558,-0.0001617754045236952,,
70404,crop_shock,loo_slice_2025,0.16637679216042478,756,714,0.07954187385754638,0.07986917757459051,-0.0003273037170441334,,
70404,crop_shock,loo_slice_new2025,0.16637679216042478,379,361,0.09656666194120618,0.09701159336110526,-0.00044493141989908336,,
70404,crop_shock,loo_slice_shared2025,0.16637679216042478,377,353,0.05755687247469882,0.05771339582146141,-0.0001565233467625965,,
