width,radius,source_profile,agg,held_seed,mode,alpha,n,coverage,rmse,base_rmse,delta
8,4,False,exp,70404,loo,0.2619744303,2644,0.9901664145,0.0670022390,0.0680908876,-0.0010886486
8,4,False,exp,70404,fixed020,0.2000000000,2644,0.9901664145,0.0671301787,0.0680908876,-0.0009607090
8,4,True,inv1,0,loo,0.4553038426,2644,0.9931921331,0.0698130872,0.0703032685,-0.0004901813
8,4,True,inv1,0,fixed020,0.2000000000,2644,0.9931921331,0.0699285034,0.0703032685,-0.0003747651
8,4,True,inv1,1,loo,0.4126851798,2644,0.9863842663,0.0618538969,0.0627891573,-0.0009352604
8,4,True,inv1,1,fixed020,0.2000000000,2644,0.9863842663,0.0621841180,0.0627891573,-0.0006050393
8,4,True,inv1,2,loo,0.4559718179,2644,0.9886535552,0.0646164986,0.0651086475,-0.0004921489
8,4,True,inv1,2,fixed020,0.2000000000,2644,0.9886535552,0.0647277563,0.0651086475,-0.0003808912
8,4,True,inv1,70404,loo,0.4397946242,2644,0.9901664145,0.0675021451,0.0680908876,-0.0005887425
8,4,True,inv1,70404,fixed020,0.2000000000,2644,0.9901664145,0.0676811620,0.0680908876,-0.0004097256
8,4,True,inv2,0,loo,0.4065683959,2644,0.9931921331,0.0698082966,0.0703032685,-0.0004949719
8,4,True,inv2,0,fixed020,0.2000000000,2644,0.9931921331,0.0699079779,0.0703032685,-0.0003952906
8,4,True,inv2,1,loo,0.3727239683,2644,0.9863842663,0.0619432340,0.0627891573,-0.0008459232
8,4,True,inv2,1,fixed020,0.2000000000,2644,0.9863842663,0.0621948447,0.0627891573,-0.0005943126
8,4,True,inv2,2,loo,0.4167337726,2644,0.9886535552,0.0647391559,0.0651086475,-0.0003694916
8,4,True,inv2,2,fixed020,0.2000000000,2644,0.9886535552,0.0647761768,0.0651086475,-0.0003324707
8,4,True,inv2,70404,loo,0.3896745760,2644,0.9901664145,0.0675073872,0.0680908876,-0.0005835004
8,4,True,inv2,70404,fixed020,0.2000000000,2644,0.9901664145,0.0676652201,0.0680908876,-0.0004256675
8,4,True,median,0,loo,0.5174731370,2644,0.9931921331,0.0698258135,0.0703032685,-0.0004774550
8,4,True,median,0,fixed020,0.2000000000,2644,0.9931921331,0.0699778743,0.0703032685,-0.0003253942
8,4,True,median,1,loo,0.4880075522,2644,0.9863842663,0.0619937648,0.0627891573,-0.0007953924
8,4,True,median,1,fixed020,0.2000000000,2644,0.9863842663,0.0623127910,0.0627891573,-0.0004763662
8,4,True,median,2,loo,0.4954898497,2644,0.9886535552,0.0643935091,0.0651086475,-0.0007151384
8,4,True,median,2,fixed020,0.2000000000,2644,0.9886535552,0.0646709203,0.0651086475,-0.0004377272
8,4,True,median,70404,loo,0.5181726045,2644,0.9901664145,0.0676157893,0.0680908876,-0.0004750983
8,4,True,median,70404,fixed020,0.2000000000,2644,0.9901664145,0.0677647222,0.0680908876,-0.0003261654
8,4,True,mean,0,loo,0.4723213271,2644,0.9931921331,0.0698626375,0.0703032685,-0.0004406310
8,4,True,mean,0,fixed020,0.2000000000,2644,0.9931921331,0.0699636169,0.0703032685,-0.0003396516
8,4,True,mean,1,loo,0.4263724273,2644,0.9863842663,0.0618500715,0.0627891573,-0.0009390858
8,4,True,mean,1,fixed020,0.2000000000,2644,0.9863842663,0.0621957279,0.0627891573,-0.0005934294
8,4,True,mean,2,loo,0.4578273607,2644,0.9886535552,0.0644768112,0.0651086475,-0.0006318363
8,4,True,mean,2,fixed020,0.2000000000,2644,0.9886535552,0.0646702859,0.0651086475,-0.0004383615
8,4,True,mean,70404,loo,0.4632949814,2644,0.9901664145,0.0675668929,0.0680908876,-0.0005239947
8,4,True,mean,70404,fixed020,0.2000000000,2644,0.9901664145,0.0677144272,0.0680908876,-0.0003764605
8,4,True,exp,0,loo,0.4681989503,2644,0.9931921331,0.0698279689,0.0703032685,-0.0004752996
8,4,True,exp,0,fixed020,0.2000000000,2644,0.9931921331,0.0699437893,0.0703032685,-0.0003594792
8,4,True,exp,1,loo,0.4238468546,2644,0.9863842663,0.0618453080,0.0627891573,-0.0009438493
8,4,True,exp,1,fixed020,0.2000000000,2644,0.9863842663,0.0621911883,0.0627891573,-0.0005979690
8,4,True,exp,2,loo,0.4634280858,2644,0.9886535552,0.0645562158,0.0651086475,-0.0005524317
8,4,True,exp,2,fixed020,0.2000000000,2644,0.9886535552,0.0647054863,0.0651086475,-0.0004031612
8,4,True,exp,70404,loo,0.4562466908,2644,0.9901664145,0.0675287226,0.0680908876,-0.0005621650
8,4,True,exp,70404,fixed020,0.2000000000,2644,0.9901664145,0.0676979367,0.0680908876,-0.0003929509
8,8,False,inv1,0,loo,0.2893721865,2644,0.9950832073,0.0696281999,0.0703032685,-0.0006750686
8,8,False,inv1,0,fixed020,0.2000000000,2644,0.9950832073,0.0696534974,0.0703032685,-0.0006497711
8,8,False,inv1,1,loo,0.2808667702,2644,0.9897881997,0.0618057448,0.0627891573,-0.0009834124
8,8,False,inv1,1,fixed020,0.2000000000,2644,0.9897881997,0.0618918122,0.0627891573,-0.0008973451
8,8,False,inv1,2,loo,0.2935116948,2644,0.9924357035,0.0644942203,0.0651086475,-0.0006144272
8,8,False,inv1,2,fixed020,0.2000000000,2644,0.9924357035,0.0644896022,0.0651086475,-0.0006190453
8,8,False,inv1,70404,loo,0.2628044152,2644,0.9916792738,0.0669690809,0.0680908876,-0.0011218067
8,8,False,inv1,70404,fixed020,0.2000000000,2644,0.9916792738,0.0671103209,0.0680908876,-0.0009805667
8,8,False,inv2,0,loo,0.2547878231,2644,0.9950832073,0.0696449741,0.0703032685,-0.0006582944
8,8,False,inv2,0,fixed020,0.2000000000,2644,0.9950832073,0.0696522346,0.0703032685,-0.0006510339
8,8,False,inv2,1,loo,0.2537159123,2644,0.9897881997,0.0619521293,0.0627891573,-0.0008370279
8,8,False,inv2,1,fixed020,0.2000000000,2644,0.9897881997,0.0619691252,0.0627891573,-0.0008200321
8,8,False,inv2,2,loo,0.2592084043,2644,0.9924357035,0.0645159731,0.0651086475,-0.0005926744
8,8,False,inv2,2,fixed020,0.2000000000,2644,0.9924357035,0.0644987613,0.0651086475,-0.0006098862
8,8,False,inv2,70404,loo,0.2298286416,2644,0.9916792738,0.0669971491,0.0680908876,-0.0010937385
8,8,False,inv2,70404,fixed020,0.2000000000,2644,0.9916792738,0.0670675697,0.0680908876,-0.0010233179
8,8,False,median,0,loo,0.2663818656,2644,0.9950832073,0.0696657117,0.0703032685,-0.0006375568
8,8,False,median,0,fixed020,0.2000000000,2644,0.9950832073,0.0697163124,0.0703032685,-0.0005869561
8,8,False,median,1,loo,0.2678007948,2644,0.9897881997,0.0620898649,0.0627891573,-0.0006992924
8,8,False,median,1,fixed020,0.2000000000,2644,0.9897881997,0.0621421141,0.0627891573,-0.0006470431
8,8,False,median,2,loo,0.2874737690,2644,0.9924357035,0.0647900124,0.0651086475,-0.0003186351
8,8,False,median,2,fixed020,0.2000000000,2644,0.9924357035,0.0647453321,0.0651086475,-0.0003633154
8,8,False,median,70404,loo,0.2570406333,2644,0.9916792738,0.0673286188,0.0680908876,-0.0007622688
8,8,False,median,70404,fixed020,0.2000000000,2644,0.9916792738,0.0674038217,0.0680908876,-0.0006870660
8,8,False,mean,0,loo,0.2911731947,2644,0.9950832073,0.0696465285,0.0703032685,-0.0006567400
8,8,False,mean,0,fixed020,0.2000000000,2644,0.9950832073,0.0696849596,0.0703032685,-0.0006183089
8,8,False,mean,1,loo,0.2758626671,2644,0.9897881997,0.0617495122,0.0627891573,-0.0010396450
8,8,False,mean,1,fixed020,0.2000000000,2644,0.9897881997,0.0618731623,0.0627891573,-0.0009159950
8,8,False,mean,2,loo,0.3009573343,2644,0.9924357035,0.0645884023,0.0651086475,-0.0005202452
8,8,False,mean,2,fixed020,0.2000000000,2644,0.9924357035,0.0645643128,0.0651086475,-0.0005443347
8,8,False,mean,70404,loo,0.2739759397,2644,0.9916792738,0.0671439338,0.0680908876,-0.0009469538
8,8,False,mean,70404,fixed020,0.2000000000,2644,0.9916792738,0.0672613703,0.0680908876,-0.0008295173
8,8,False,exp,0,loo,0.2967463532,2644,0.9950832073,0.0696151114,0.0703032685,-0.0006881571
8,8,False,exp,0,fixed020,0.2000000000,2644,0.9950832073,0.0696519098,0.0703032685,-0.0006513587
8,8,False,exp,1,loo,0.2868493114,2644,0.9897881997,0.0617673142,0.0627891573,-0.0010218430
8,8,False,exp,1,fixed020,0.2000000000,2644,0.9897881997,0.0618761359,0.0627891573,-0.0009130214
8,8,False,exp,2,loo,0.3020564010,2644,0.9924357035,0.0644890678,0.0651086475,-0.0006195797
8,8,False,exp,2,fixed020,0.2000000000,2644,0.9924357035,0.0644887561,0.0651086475,-0.0006198914
8,8,False,exp,70404,loo,0.2726052254,2644,0.9916792738,0.0669930506,0.0680908876,-0.0010978370
8,8,False,exp,70404,fixed020,0.2000000000,2644,0.9916792738,0.0671448583,0.0680908876,-0.0009460293
8,8,True,inv1,0,loo,0.4894966514,2644,0.9950832073,0.0698554314,0.0703032685,-0.0004478371
8,8,True,inv1,0,fixed020,0.2000000000,2644,0.9950832073,0.0699534023,0.0703032685,-0.0003498662
8,8,True,inv1,1,loo,0.4273794131,2644,0.9897881997,0.0617588431,0.0627891573,-0.0010303142
8,8,True,inv1,1,fixed020,0.2000000000,2644,0.9897881997,0.0621590820,0.0627891573,-0.0006300753
8,8,True,inv1,2,loo,0.4871961774,2644,0.9924357035,0.0646449866,0.0651086475,-0.0004636609
8,8,True,inv1,2,fixed020,0.2000000000,2644,0.9924357035,0.0647495107,0.0651086475,-0.0003591367
8,8,True,inv1,70404,loo,0.4642516485,2644,0.9916792738,0.0674727746,0.0680908876,-0.0006181130
8,8,True,inv1,70404,fixed020,0.2000000000,2644,0.9916792738,0.0676814408,0.0680908876,-0.0004094468
8,8,True,inv2,0,loo,0.4257433929,2644,0.9950832073,0.0698251379,0.0703032685,-0.0004781306
8,8,True,inv2,0,fixed020,0.2000000000,2644,0.9950832073,0.0699185086,0.0703032685,-0.0003847599
8,8,True,inv2,1,loo,0.3829136332,2644,0.9897881997,0.0618853803,0.0627891573,-0.0009037770
8,8,True,inv2,1,fixed020,0.2000000000,2644,0.9897881997,0.0621737419,0.0627891573,-0.0006154154
8,8,True,inv2,2,loo,0.4322834419,2644,0.9924357035,0.0647343766,0.0651086475,-0.0003742709
8,8,True,inv2,2,fixed020,0.2000000000,2644,0.9924357035,0.0647771597,0.0651086475,-0.0003314878
8,8,True,inv2,70404,loo,0.4031697732,2644,0.9916792738,0.0674838044,0.0680908876,-0.0006070832
8,8,True,inv2,70404,fixed020,0.2000000000,2644,0.9916792738,0.0676606064,0.0680908876,-0.0004302812
8,8,True,median,0,loo,0.5141081572,2644,0.9950832073,0.0699770790,0.0703032685,-0.0003261896
8,8,True,median,0,fixed020,0.2000000000,2644,0.9950832073,0.0700598169,0.0703032685,-0.0002434516
8,8,True,median,1,loo,0.4546325603,2644,0.9897881997,0.0620111400,0.0627891573,-0.0007780172
8,8,True,median,1,fixed020,0.2000000000,2644,0.9897881997,0.0623323105,0.0627891573,-0.0004568468
8,8,True,median,2,loo,0.5028139353,2644,0.9924357035,0.0646463225,0.0651086475,-0.0004623250
8,8,True,median,2,fixed020,0.2000000000,2644,0.9924357035,0.0647954618,0.0651086475,-0.0003131857
8,8,True,median,70404,loo,0.5014888129,2644,0.9916792738,0.0676604244,0.0680908876,-0.0004304633
8,8,True,median,70404,fixed020,0.2000000000,2644,0.9916792738,0.0678008266,0.0680908876,-0.0002900610
8,8,True,mean,0,loo,0.5047753797,2644,0.9950832073,0.0699302393,0.0703032685,-0.0003730292
8,8,True,mean,0,fixed020,0.2000000000,2644,0.9950832073,0.0700014507,0.0703032685,-0.0003018178
8,8,True,mean,1,loo,0.4277044206,2644,0.9897881997,0.0617437156,0.0627891573,-0.0010454417
8,8,True,mean,1,fixed020,0.2000000000,2644,0.9897881997,0.0621677353,0.0627891573,-0.0006214220
8,8,True,mean,2,loo,0.5006197880,2644,0.9924357035,0.0646356470,0.0651086475,-0.0004730005
8,8,True,mean,2,fixed020,0.2000000000,2644,0.9924357035,0.0647478161,0.0651086475,-0.0003608314
8,8,True,mean,70404,loo,0.4811144977,2644,0.9916792738,0.0675230178,0.0680908876,-0.0005678698
8,8,True,mean,70404,fixed020,0.2000000000,2644,0.9916792738,0.0677112470,0.0680908876,-0.0003796406
8,8,True,exp,0,loo,0.5024385079,2644,0.9950832073,0.0698615125,0.0703032685,-0.0004417560
8,8,True,exp,0,fixed020,0.2000000000,2644,0.9950832073,0.0699646552,0.0703032685,-0.0003386133
8,8,True,exp,1,loo,0.4386481138,2644,0.9897881997,0.0617388511,0.0627891573,-0.0010503061
8,8,True,exp,1,fixed020,0.2000000000,2644,0.9897881997,0.0621610951,0.0627891573,-0.0006280622
8,8,True,exp,2,loo,0.4980684039,2644,0.9924357035,0.0646002318,0.0651086475,-0.0005084157
8,8,True,exp,2,fixed020,0.2000000000,2644,0.9924357035,0.0647333922,0.0651086475,-0.0003752553
8,8,True,exp,70404,loo,0.4812205394,2644,0.9916792738,0.0674931034,0.0680908876,-0.0005977842
8,8,True,exp,70404,fixed020,0.2000000000,2644,0.9916792738,0.0676953945,0.0680908876,-0.0003954931
8,16,False,inv1,0,loo,0.3056085359,2644,0.9958396369,0.0696295061,0.0703032685,-0.0006737624
8,16,False,inv1,0,fixed020,0.2000000000,2644,0.9958396369,0.0696625142,0.0703032685,-0.0006407543
8,16,False,inv1,1,loo,0.2953038939,2644,0.9913010590,0.0618177369,0.0627891573,-0.0009714203
8,16,False,inv1,1,fixed020,0.2000000000,2644,0.9913010590,0.0619250770,0.0627891573,-0.0008640803
8,16,False,inv1,2,loo,0.3070204382,2644,0.9931921331,0.0644626952,0.0651086475,-0.0006459523
8,16,False,inv1,2,fixed020,0.2000000000,2644,0.9931921331,0.0644815415,0.0651086475,-0.0006271060
8,16,False,inv1,70404,loo,0.2774335795,2644,0.9928139183,0.0669725955,0.0680908876,-0.0011182921
8,16,False,inv1,70404,fixed020,0.2000000000,2644,0.9928139183,0.0671417952,0.0680908876,-0.0009490925
8,16,False,inv2,0,loo,0.2591951711,2644,0.9958396369,0.0696387749,0.0703032685,-0.0006644936
8,16,False,inv2,0,fixed020,0.2000000000,2644,0.9958396369,0.0696484377,0.0703032685,-0.0006548308
8,16,False,inv2,1,loo,0.2586143556,2644,0.9913010590,0.0619664532,0.0627891573,-0.0008227041
8,16,False,inv2,1,fixed020,0.2000000000,2644,0.9913010590,0.0619837737,0.0627891573,-0.0008053835
8,16,False,inv2,2,loo,0.2625281937,2644,0.9931921331,0.0644961439,0.0651086475,-0.0006125036
8,16,False,inv2,2,fixed020,0.2000000000,2644,0.9931921331,0.0644862578,0.0651086475,-0.0006223897
